customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00001,Male,0,Yes,No,13,Month-to-month,Fiber optic,Yes,No,No,Bank transfer (automatic),67.21,875.93,Yes
CUST-00002,Female,1,Yes,No,26,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),66.4,1703.54,No
CUST-00003,Female,0,No,Yes,51,Month-to-month,DSL,No,No,Yes,Mailed check,41.69,2125.9,No
CUST-00004,Male,0,Yes,No,3,Two year,No,No,No,Yes,Mailed check,49.62,176.76,Yes
CUST-00005,Male,0,Yes,No,66,Month-to-month,Fiber optic,No,No,Yes,Electronic check,20.59,1282.26,No
CUST-00006,Female,0,Yes,No,12,Month-to-month,DSL,No,Yes,Yes,Mailed check,97.36,1130.41,Yes
CUST-00007,Male,0,Yes,No,57,Month-to-month,DSL,No,Yes,Yes,Electronic check,36.65,2087.37,No
CUST-00008,Female,0,Yes,No,45,Two year,No,No,No,No,Mailed check,38.16,1795.47,No
CUST-00009,Male,0,No,No,61,One year,Fiber optic,Yes,No,Yes,Credit card (automatic),93.26,5731.13,No
CUST-00010,Male,0,Yes,No,56,Month-to-month,Fiber optic,Yes,No,No,Electronic check,72.75,4073.82,Yes
CUST-00011,Female,0,No,No,37,Two year,DSL,No,No,No,Bank transfer (automatic),67.41,2514.29,No
CUST-00012,Female,0,No,No,55,Month-to-month,DSL,No,No,Yes,Electronic check,71.81,3944.47,Yes
CUST-00013,Female,0,No,Yes,25,Two year,No,No,No,No,Bank transfer (automatic),84.08,2155.86,No
CUST-00014,Female,0,Yes,No,42,Month-to-month,No,Yes,Yes,Yes,Mailed check,67.0,2835.69,No
CUST-00015,Female,1,Yes,No,66,Month-to-month,Fiber optic,Yes,No,No,Bank transfer (automatic),34.13,2316.52,No
CUST-00016,Female,0,Yes,No,6,Month-to-month,No,No,No,No,Mailed check,79.66,410.19,Yes
CUST-00017,Female,0,Yes,No,25,Two year,Fiber optic,No,No,No,Credit card (automatic),73.45,1795.94,Yes
CUST-00018,Male,1,Yes,No,1,Two year,No,No,No,Yes,Bank transfer (automatic),88.43,102.16,No
CUST-00019,Female,0,No,No,39,One year,DSL,No,No,Yes,Bank transfer (automatic),40.02,1585.46,No
CUST-00020,Male,0,Yes,Yes,57,Month-to-month,Fiber optic,No,No,Yes,Bank transfer (automatic),50.41,2993.39,Yes
CUST-00021,Female,0,Yes,Yes,2,Month-to-month,No,No,No,No,Credit card (automatic),72.84,55.29,Yes
CUST-00022,Male,0,Yes,No,40,Month-to-month,No,No,No,Yes,Bank transfer (automatic),46.11,1842.75,No
CUST-00023,Male,1,No,No,30,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,18.0,536.1,No
CUST-00024,Female,0,No,Yes,57,Month-to-month,Fiber optic,No,No,Yes,Electronic check,68.95,3942.04,No
CUST-00025,Female,0,No,Yes,16,One year,No,No,No,Yes,Bank transfer (automatic),82.9,1413.06,Yes
CUST-00026,Female,0,No,Yes,11,One year,Fiber optic,No,No,Yes,Mailed check,62.42,730.43,No
CUST-00027,Male,0,No,No,6,Two year,DSL,No,No,Yes,Bank transfer (automatic),75.96,375.56,Yes
CUST-00028,Female,0,No,No,29,Month-to-month,Fiber optic,Yes,No,No,Bank transfer (automatic),73.07,2195.72,No
CUST-00029,Female,0,Yes,No,35,Month-to-month,Fiber optic,No,No,Yes,Electronic check,65.21,2357.64,No
CUST-00030,Male,0,No,Yes,67,Month-to-month,Fiber optic,No,No,Yes,Bank transfer (automatic),67.72,4550.39,No
CUST-00031,Male,0,No,Yes,34,Month-to-month,No,Yes,No,Yes,Credit card (automatic),91.98,3046.43,Yes
CUST-00032,Male,0,Yes,Yes,12,One year,Fiber optic,No,No,Yes,Mailed check,45.71,540.94,No
CUST-00033,Male,0,No,No,51,One year,DSL,Yes,Yes,No,Credit card (automatic),80.46,4126.9,No
CUST-00034,Female,0,No,Yes,4,Month-to-month,DSL,No,No,Yes,Credit card (automatic),41.38,215.35,Yes
CUST-00035,Female,0,No,No,25,Month-to-month,No,No,No,Yes,Mailed check,49.1,1138.98,No
CUST-00036,Male,0,Yes,No,47,Two year,DSL,Yes,Yes,Yes,Credit card (automatic),88.92,4140.78,No
